[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Associate's degree,"11.01 - Computer And Information Sciences, General",North Central Kansas Technical College,3,8,3,4,5,5,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",North Central Missouri College,-,-,-,-,-,-,-,-,-,-,4,4,10,15,10,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",North Central Texas College,-,-,-,-,-,-,-,-,-,10,8,2,-,9,12,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",North Dakota State College of Science,4,9,6,14,4,16,14,20,10,19,14,9,14,-,-,-,-,-,-,30,-
Associate's degree,"11.01 - Computer And Information Sciences, General",North Hennepin Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,16,15,9,3,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",North Shore Community College,6,2,7,4,3,3,6,3,3,2,5,3,-,6,2,4,7,1,1,1,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Northampton County Area Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,7,15,10,8,11,9
Associate's degree,"11.01 - Computer And Information Sciences, General",Northcentral Technical College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northeast Alabama Community College,12,6,18,9,10,16,10,8,7,5,5,3,9,7,12,6,7,7,17,17,7
Associate's degree,"11.01 - Computer And Information Sciences, General",Northeast Community College,16,9,9,15,-,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northeast Lakeview College,8,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northeast Mississippi Community College,1,-,2,-,1,3,2,1,-,1,3,1,-,2,-,1,1,2,2,3,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Northeast State Community College,32,33,31,35,18,25,16,15,21,20,22,19,28,50,46,19,13,14,18,15,23
Associate's degree,"11.01 - Computer And Information Sciences, General",Northeast Texas Community College,-,-,-,-,-,-,1,-,3,3,2,5,2,-,7,6,8,6,2,2,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northeastern Oklahoma A&M College,9,7,4,10,10,10,8,5,6,4,4,8,8,12,11,11,17,10,18,12,9
Associate's degree,"11.01 - Computer And Information Sciences, General",Northern Essex Community College,38,30,26,29,31,23,17,9,9,16,7,12,5,2,-,-,-,1,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northern Marianas College,-,-,-,5,9,4,3,5,2,9,2,4,4,8,7,7,7,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northern New Mexico College,-,-,-,-,-,-,1,1,-,-,-,-,-,-,12,10,72,12,3,1,7
Associate's degree,"11.01 - Computer And Information Sciences, General",Northern Oklahoma College,23,16,17,17,3,4,1,2,2,2,2,5,2,3,2,5,6,7,3,1,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Northern Virginia Community College,382,427,431,365,422,371,327,227,191,140,66,43,61,97,82,70,77,48,45,45,51
Associate's degree,"11.01 - Computer And Information Sciences, General",Northland Community and Technical College,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northland Pioneer College,3,1,3,-,-,-,-,2,-,-,-,-,-,-,3,-,5,4,5,1,2
Associate's degree,"11.01 - Computer And Information Sciences, General",NorthWest Arkansas Community College,12,16,18,21,33,20,23,19,13,15,11,11,10,9,13,9,10,2,5,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwest College,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwest Florida State College,12,2,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwest Indian College,4,3,-,3,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwest Mississippi Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,15,13,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwest State Community College,-,-,-,-,-,-,-,14,12,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwest Vista College,38,18,12,8,7,4,3,-,-,2,2,2,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwest-Shoals Community College,4,12,6,8,2,16,11,9,6,10,10,16,22,24,16,21,41,9,9,13,18
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwood University,-,-,-,-,-,-,-,1,1,1,-,-,1,-,-,4,10,-,-,14,9
Associate's degree,"11.01 - Computer And Information Sciences, General",Northwood University-Florida,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Norwalk Community College,-,-,-,-,-,-,3,2,5,5,-,2,3,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Nueta Hidatsa Sahnish College,-,1,1,2,2,1,-,-,2,1,3,3,1,4,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Nunez Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,6,4,3,1,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Oakland City University,-,-,-,-,-,-,73,11,11,8,-,1,2,2,6,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Oakland Community College,-,-,-,-,-,1,-,4,-,2,4,20,31,4,11,20,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Oakton Community College,8,1,1,4,4,6,2,2,3,3,6,5,7,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Ocean County College,22,15,17,8,10,12,8,8,16,9,9,8,17,12,15,28,16,21,15,15,15
Associate's degree,"11.01 - Computer And Information Sciences, General",Odessa College,-,7,4,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Ogden-Weber Technical College,-,-,-,-,-,16,5,4,1,2,1,3,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Oglala Lakota College,-,4,1,3,2,-,-,1,-,6,1,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Ohio Valley College of Technology,-,1,-,-,9,5,18,10,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Oklahoma City Community College,62,57,54,36,43,37,30,26,39,41,32,32,45,65,41,35,25,33,34,23,11
Associate's degree,"11.01 - Computer And Information Sciences, General",Oklahoma Panhandle State University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,2,1,4,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Oklahoma State University Institute of Technology,60,42,47,80,86,91,51,53,56,52,50,56,40,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Oklahoma State University-Oklahoma City,35,19,25,24,22,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Olean Business Institute,-,-,-,-,-,-,-,-,-,3,5,1,2,2,2,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Olney Central College,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Onondaga Community College,15,24,17,17,15,10,10,7,6,6,2,8,12,13,14,15,18,13,14,12,18
Associate's degree,"11.01 - Computer And Information Sciences, General",Orange County Community College,11,6,4,7,3,7,5,7,1,5,4,5,4,10,3,10,13,6,10,7,5
Associate's degree,"11.01 - Computer And Information Sciences, General",Owens Community College,1,7,10,9,12,14,12,7,11,10,4,3,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Owensboro Community and Technical College,13,9,15,15,17,12,14,9,11,9,5,4,4,4,2,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Oxnard College,-,-,-,-,1,1,-,1,2,3,1,2,10,7,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pace University-New York,-,-,-,-,-,-,-,-,1,2,2,17,38,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pacific Institute of Technology,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Palau Community College,3,3,2,1,2,5,1,7,2,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Palm Beach State College,20,17,23,15,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Palo Alto College,20,12,10,10,14,17,15,8,5,7,8,9,9,10,13,11,10,8,5,3,9
Associate's degree,"11.01 - Computer And Information Sciences, General",Palo Verde College,2,-,1,1,1,1,-,1,-,-,1,-,2,1,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Palomar College,6,9,5,13,1,1,2,3,4,-,2,3,5,9,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pamlico Community College,1,-,-,2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Panola College,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Paradise Valley Community College,14,21,8,11,15,11,8,7,4,5,11,4,6,15,16,14,6,1,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Paris Junior College,7,12,12,12,6,18,10,8,6,4,5,3,2,4,2,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Park University,34,41,34,3,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pasadena City College,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Passaic County Community College,45,45,6,13,5,5,5,3,4,8,5,3,6,10,13,12,7,11,4,3,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Patrick Henry Community College,11,5,10,16,20,11,20,21,9,9,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Peirce College,12,14,12,11,21,22,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pellissippi State Community College,51,48,69,43,45,29,30,23,15,8,22,22,20,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Penn Commercial Business/Technical School,-,-,-,-,-,-,-,-,-,-,1,4,15,18,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pennsylvania College of Technology,-,-,-,-,-,3,1,6,4,6,14,7,1,1,-,-,-,3,2,-,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Pennsylvania Highlands Community College,8,11,11,22,10,15,-,-,-,-,-,3,11,20,35,27,25,21,25,10,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pennsylvania Institute of Health and Technology,-,-,-,-,8,7,16,-,-,-,-,-,-,-,-,29,32,17,18,15,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pennsylvania School of Business,-,-,-,-,15,4,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pennsylvania State University-Main Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pennsylvania State University-Penn State Schuylkill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,13,19,11,10
Associate's degree,"11.01 - Computer And Information Sciences, General",Pennsylvania State University-Penn State York,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,12,15,17,7,11
Associate's degree,"11.01 - Computer And Information Sciences, General",Pensacola State College,14,18,20,23,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Phoenix College,11,10,12,16,4,6,4,4,5,1,1,5,-,-,-,-,-,4,1,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Piedmont Community College,3,6,4,2,-,1,-,2,2,1,4,2,7,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Piedmont Virginia Community College,9,13,12,8,7,12,7,6,7,7,-,1,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pikes Peak Community College,21,17,20,12,13,16,19,3,1,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pima Community College,-,-,-,-,-,-,-,-,-,-,-,-,3,2,4,5,3,1,2,2,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pinnacle Career Institute-South Kansas City,-,-,-,1,11,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pitt Community College,12,26,12,9,12,19,5,6,7,4,4,10,9,6,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pittsburgh Technical College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Platt College-Los Angeles,-,-,-,-,-,-,-,-,-,-,-,5,9,14,24,17,27,3,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Platt College-Ontario,-,-,-,-,-,-,-,-,-,-,-,11,22,21,24,36,27,7,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Point Park University,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pontifical Catholic University of Puerto Rico-Arecibo,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pontifical Catholic University of Puerto Rico-Mayaguez,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pontifical Catholic University of Puerto Rico-Ponce,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,2,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Porterville College,7,11,8,8,3,5,3,5,6,1,2,-,4,5,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Prairie State College,3,9,7,7,3,7,3,8,4,5,2,13,5,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Prince George's Community College,18,11,12,16,9,8,12,5,3,3,6,23,13,9,19,14,20,27,21,17,18
Associate's degree,"11.01 - Computer And Information Sciences, General",Provo College,-,-,-,-,-,-,-,-,5,5,7,7,7,19,18,24,25,20,9,8,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Pueblo Community College,18,18,18,19,12,12,8,7,10,11,9,19,21,31,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Purdue University-Main Campus,-,-,-,2,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Quinsigamond Community College,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Rainy River Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Randolph Community College,17,10,10,10,13,18,10,12,5,5,1,4,4,5,16,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Raritan Valley Community College,19,20,25,14,12,7,12,8,-,6,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Rasmussen College-North Dakota,-,-,-,-,-,-,-,-,-,-,-,-,12,13,20,1,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Reading Area Community College,6,11,8,8,5,4,7,1,1,1,1,1,1,2,4,5,-,3,1,1,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Red Rocks Community College,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Redlands Community College,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,7,9,4,3,4,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Reedley College,-,1,-,-,-,-,-,-,-,-,1,1,4,3,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Regent University,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Reid State Technical College,1,1,5,-,14,7,12,6,9,7,9,8,15,13,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Baton Rouge Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,14,45,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Colorado Springs Campus,-,-,-,-,-,-,-,-,-,-,-,-,8,3,13,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Dallas Campus,-,-,-,-,-,-,-,-,-,-,25,37,16,53,91,76,75,48,-,18,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Fort Worth Campus,-,-,-,-,-,-,-,-,-,-,23,18,7,7,40,39,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Honolulu Campus,-,-,-,-,-,-,-,-,-,-,28,24,10,1,18,29,4,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Houston Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Jacksonville Campus,-,-,-,-,-,-,-,-,-,-,19,24,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Lafayette Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,10,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Largo Campus,-,-,-,-,-,-,-,-,-,8,12,21,46,16,105,61,23,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Little Rock Campus,-,-,-,-,-,-,-,-,-,-,36,42,30,28,101,79,104,148,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Memphis Campus,-,-,-,-,-,-,-,-,-,-,-,-,21,11,44,58,87,90,60,24,23
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Nashville Campus,-,-,-,-,-,-,-,-,-,-,7,2,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-New Orleans Campus,-,-,-,-,-,-,-,-,-,-,-,-,24,24,56,49,53,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-San Diego Campus,-,-,-,-,-,-,-,-,-,-,21,23,-,10,29,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Remington College-Tampa Campus,-,-,-,-,-,-,-,-,-,-,-,8,53,20,71,82,91,77,19,-,-
